id,study_title,study_link,resultIA_no_fine_tunning,resultIA_fine_tunning,study_type,study_year,cannabinoids,organ_systems,study_conditions
2021001,P.0835 Synergistic effects of lysergic acid diethylamide (LSD) and cannabidiol (CBD),https://www.researchgate.net/publication/357426416_P0835_Synergistic_effects_of_lysergic_acid_diethylamide_LSD_and_cannabidiol_CBD,Positive,,Animal Study,2021,,,Depression
2023002,Effects of repeated lysergic acid diethylamide (LSD) on the mouse brain endocannabinoidome and gut microbiome,https://pubmed.ncbi.nlm.nih.gov/36316276/,Inconclusive,,Animal Study,2023,,,Microbiome Imbalance
2022001,Raising awareness: The implementation of medical cannabis and psychedelics used as an adjunct to standard therapy in the treatment of advanced metastatic breast cancer,https://journals.sagepub.com/doi/10.1177/20503245221114323,Positive,,Meta-analysis,2022,,,Cancer - Breast; Cancer - Metastatic; Cancer
2005001,Co-administration of THC and MDMA (‘Ecstasy’) Synergistically Disrupts Memory in Rats,https://www.nature.com/articles/1300692,Positive,,Animal Study,2005,,,Cannabis Adverse Effects; Cognitive Dysfunction
2024010,Sleep quality of adult recreational cannabis users: a systematic review of literature,https://pubmed.ncbi.nlm.nih.gov/38754072/,Negative,,Clinical Meta-analysis,2024,,,Cannabis Adverse Effects; Insomnia and Sleep Disorders
2024011,Cognitive-behavioral therapies in the management of adolescents with cannabis use disorder (CUD): A systematic review,https://www.sciencedirect.com/science/article/abs/pii/S0376871624002424?via%3Dihub,Positive,,Clinical Meta-analysis,2024,,,Addiction - Cannabis; Behavioral Disorders; Addiction; Cognitive Dysfunction
2024012,Patterns of drug use among people who inject drugs: A global systematic review and meta-analysis,https://www.sciencedirect.com/science/article/pii/S0955395924001403?via%3Dihub,Negative,,Meta-analysis,2024,,,Addiction; Addiction - Alcohol; Addiction - Benzodiazepine; Addiction - Cannabis; Addiction - Nicotine; Addiction - Opioid; Addiction - Stimulant
2024013,Association between history of cannabis use and outcomes after total hip or knee arthroplasty: a systematic review and meta-analysis,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1377688/full,Negative,,Meta-analysis,2024,,,Pain; Pain - Acute; Pain - Chronic; Wound Healing
2024014,Safety of medicinal and edible herbs from fruit sources for human consumption: A systematic review,https://www.sciencedirect.com/science/article/abs/pii/S0378874124007281?via%3Dihub,Negative,,Meta-analysis,2024,,,Cannabis Adverse Effects
2024015,Vasoactive and Antifibrotic Properties of Cannabinoids and Applications to Vasospastic/Vaso-Occlusive Disorders: A Systematic Review,https://pubmed.ncbi.nlm.nih.gov/38857012/,Positive,,Meta-analysis,2024,,,Cardiovascular Diseases (CVD); Reperfusion Injury; Stroke
2024016,Evidence for the use of cannabis-based medicines in osteoarthritis: a scoping review,https://pubmed.ncbi.nlm.nih.gov/38853226/,Positive,,Clinical Meta-analysis,2024,,Skeletal System,Arthritis
2024017,Recent Advanced Methods for Extracting and Analyzing Cannabinoids from Cannabis-Infused Edibles and Detecting Hemp-Derived Contaminants in Food (2013-2023): A Comprehensive Review,https://pubmed.ncbi.nlm.nih.gov/38857901/,Inconclusive,,Meta-analysis,2024,,Mental/Emotional System,Cannabis Adverse Effects
2024018,"Systematic review of drug-drug interactions of delta-9-tetrahydrocannabinol, cannabidiol, and Cannabis",https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2024.1282831/full,Negative,,Meta-analysis,2024,,Mental/Emotional System,Cannabis Adverse Effects
2024019,Re-evaluation of the cardioprotective effects of cannabinoids against ischemia-reperfusion injury according to the IMproving Preclinical Assessment of Cardioprotective Therapies (IMPACT) criteria,https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2024.1382995/full,Inconclusive,,Meta-analysis,2024,Endocannabinoid (unspecified),Cardiovascular System,Cardiovascular Diseases (CVD); Reperfusion Injury
2024020,Systematic review: the impact of maternal pre-and postnatal cannabis use on the behavioral and emotional regulation in early childhood,https://link.springer.com/article/10.1007/s00787-024-02494-8,Negative,,Meta-analysis,2024,Endocannabinoid (unspecified),Mental/Emotional System; Reproductive System,Behavioral Disorders; Pregnancy; Neonatal Cerebral Issues
2024021,Assessing effects of Cannabis on various neuropathologies: A systematic review,https://www.sciencedirect.com/science/article/pii/S0975947624000263?via%3Dihub#kwrds0010,Inconclusive,,Meta-analysis,2024,,Mental/Emotional System,Cannabis Adverse Effects
2024022,Understanding youth and young adult cannabis use in Canada post-legalization: a scoping review on a public health issue,https://substanceabusepolicy.biomedcentral.com/articles/10.1186/s13011-024-00615-9,Positive,,Meta-analysis,2024,,Mental/Emotional System,Cannabis Adverse Effects; Anxiety; Cannabis Hyperemesis Syndrome; Cognitive Dysfunction; Depression; Psychosis
2024023,Patent review of cannabinoid receptor type 2 (CB2R) modulators (2016-present),https://www.tandfonline.com/doi/full/10.1080/13543776.2024.2368745,Inconclusive,,Meta-analysis,2024,Endocannabinoid (unspecified); Tetrahydrocannabinol (THC),,Cancer; Cardiovascular Diseases (CVD); Fibrosis - Lung; Kidney Failure; Liver Failure; Pain; Neurodegenerative Issues; Osteoporosis; Psychosis; Skin Diseases
2024024,Endocannabinoid levels in female-sexed individuals with diagnosed depression: a systematic review,https://pubmed.ncbi.nlm.nih.gov/38886733/,Inconclusive,,Meta-analysis,2024,Endocannabinoid (unspecified),Mental/Emotional System,Depression; Anxiety; Psychosis
2024025,Meaningfully Characterizing Cannabis Use for Research and Clinical Settings: A Comprehensive Review of Existing Measures and Proposed Future Directions,https://pubmed.ncbi.nlm.nih.gov/38883882/,Inconclusive,,Meta-analysis,2024,,,Addiction - Cannabis; Addiction; Cannabis Adverse Effects
2024026,Endocannabinoid Hydrolase Inhibitors: Potential Novel Anxiolytic Drugs,https://www.dovepress.com/endocannabinoid-hydrolase-inhibitors-potential-novel-anxiolytic-drugs-peer-reviewed-fulltext-article-DDDT,Positive,,Meta-analysis,2024,Fatty Acid Amide Hydrolase (FAAH); Monoacylglycerol Lipase (MAGL); 2-Arachidonoyl Glycerol (2-AG); AM-x Synthetic Cannabinoids; Anandamide (AEA); Endocannabinoid (unspecified); Synthetic Cannabinoid (unspecified),Mental/Emotional System,Anxiety
2024027,Seventeen years since rimonabant's downfall: reassessing its suicidality risk profile,https://onlinelibrary.wiley.com/doi/10.1002/oby.24019,Inconclusive,,Meta-analysis,2024,Synthetic Cannabinoid (unspecified),Endocrine System; Mental/Emotional System,Obesity; Suicide Attempt
2024028,Extended Treatment with Micron-Size Oral Palmitoylethanolamide (PEA) in Chronic Pain: A Systematic Review and Meta-Analysis,https://www.mdpi.com/2072-6643/16/11/1653,Positive,,Clinical Meta-analysis,2024,Palmitoylethanolamide (PEA),,Pain; Pain - Chronic
2024029,Cannabinoid Analgesia in Postoperative Pain Management: From Molecular Mechanisms to Clinical Reality,https://www.mdpi.com/1422-0067/25/11/6268,Inconclusive,,Meta-analysis,2024,Endocannabinoid (unspecified); 2-Arachidonoyl Glycerol (2-AG); Anandamide (AEA); Cannabigerol (CBG); Cannabinol (CBN); Cannabitriol (CBT); Delta-8-THC; Fatty Acid Amide Hydrolase (FAAH); Monoacylglycerol Lipase (MAGL); Tetrahydrocannabinol (THC),,Pain; Pain - Acute
2024030,"The Use of Compounds Derived from Cannabis sativa in the Treatment of Epilepsy, Painful Conditions, and Neuropsychiatric and Neurodegenerative Disorders",https://www.mdpi.com/1422-0067/25/11/5749,Positive,,Meta-analysis,2024,Endocannabinoid (unspecified),Mental/Emotional System; Nervous System,Epilepsy; Pain; Neurodegenerative Issues; Psychosis; Inflammation; Quality of Life
2024031,Assessment of clinical outcomes in patients with inflammatory arthritis: analysis from the UK Medical Cannabis Registry,https://pubmed.ncbi.nlm.nih.gov/38976497/,Positive,,Meta-analysis,2024,,Nervous System; Skeletal System,Arthritis; Inflammation; Arthritis - Rheumatoid
2024032,Clinical and Family Implications of Cannabidiol (CBD)-Dominant Full-Spectrum Phytocannabinoid Extract in Children and Adolescents with Moderate to Severe Non-Syndromic Autism Spectrum Disorder (ASD): An Observational Study on Neurobehavioral Management,https://www.mdpi.com/1424-8247/17/6/686,Positive,,Clinical Trial,2024,,Mental/Emotional System; Nervous System,Autism; ADD and ADHD
2024033,Using Smartphone Technology to Track Real-Time Changes in Anxiety/Depression Symptomatology Among Florida Cannabis Users,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11225978/,Positive,,Meta-analysis,2024,,Mental/Emotional System; Nervous System,Anxiety; Depression
2024034,Examining the association between prenatal cannabis exposure and child autism traits: A multi-cohort investigation in the environmental influences on child health outcome program,https://pubmed.ncbi.nlm.nih.gov/38953698/,Inconclusive,,Meta-analysis,2024,,Mental/Emotional System; Nervous System,Autism; ADD and ADHD; Cannabis Adverse Effects
2024035,Update on cannabis in human sexuality,https://link.springer.com/article/10.1007/s00213-024-06643-4,Positive,,Meta-analysis,2024,,Endocrine System; Reproductive System,Libido; Erectile Dysfunction; Infertility (Female); Infertility (Male)
2015001,Cannabis use and mania symptoms: a systematic review and meta-analysis,https://pubmed.ncbi.nlm.nih.gov/25285897/,Negative,,Clinical Meta-analysis,2015,,Mental/Emotional System; Nervous System,Bipolar Disorder
2014001,Cannabis and schizophrenia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10107010/,Inconclusive,,Clinical Meta-analysis,2014,,Mental/Emotional System; Nervous System,Schizophrenia
2015002,Assessment of cannabis use disorders: a systematic review of screening and diagnostic instruments,https://pubmed.ncbi.nlm.nih.gov/25366671/,Negative,,Clinical Meta-analysis,2015,,Mental/Emotional System; Nervous System,Addiction - Cannabis; Addiction
2014002,Prescribing smoked cannabis for chronic noncancer pain: preliminary recommendations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4264803/,Positive,,Clinical Meta-analysis,2014,,Nervous System,Pain; Pain - Chronic; Pain - Neuropathy - Peripheral
2015003,Systematic review of complementary and alternative medicine treatments in inflammatory bowel diseases,https://pubmed.ncbi.nlm.nih.gov/25518050/,Negative,,Clinical Meta-analysis,2015,,Digestive System,IBD - Crohn's Disease; IBD - Inflammatory Bowel Disease; IBD - Ulcerative Colitis
2015004,Does cannabis affect dopaminergic signaling in the human brain? A systematic review of evidence to date,https://pubmed.ncbi.nlm.nih.gov/26068702/,Inconclusive,,Clinical Meta-analysis,2015,Tetrahydrocannabinol (THC),Mental/Emotional System; Nervous System,Psychosis
2015005,Cannabidiol as an Intervention for Addictive Behaviors: A Systematic Review of the Evidence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4444130/,Positive,,Meta-analysis,2015,,Mental/Emotional System; Nervous System,Addiction
2015006,Cannabis withdrawal and sleep: A systematic review of human studies,https://pubmed.ncbi.nlm.nih.gov/25893849/,Inconclusive,,Clinical Meta-analysis,2015,,Mental/Emotional System; Nervous System,Addiction - Cannabis; Addiction; Insomnia and Sleep Disorders
2015007,A systematic review of the antipsychotic properties of cannabidiol in humans,https://pubmed.ncbi.nlm.nih.gov/25667194/,Positive,,Clinical Meta-analysis,2015,,Mental/Emotional System; Nervous System,Schizophrenia
2014003,Pharmacotherapies for cannabis dependence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4297244/,Negative,,Clinical Meta-analysis,2014,,Mental/Emotional System; Nervous System,Addiction - Cannabis; Addiction
2015008,The effectiveness of cannabinoids in the management of chronic nonmalignant neuropathic pain: a systematic review,https://pubmed.ncbi.nlm.nih.gov/25635955/,Inconclusive,,Clinical Meta-analysis,2015,,Nervous System,Pain; Pain - Chronic; Pain - Neuropathy - Peripheral
2024036,Anti-Cancer and Anti-Proliferative Potential of Cannabidiol: A Cellular and Molecular Perspective,https://www.mdpi.com/1422-0067/25/11/5659,Positive,,Meta-analysis,2024,,Nervous System,Cancer
2024037,Transdermal Delivery of Cannabidiol for the Management of Acute Inflammatory Pain: A Comprehensive Review of the Literature,https://www.mdpi.com/1422-0067/25/11/5858,Positive,,Meta-analysis,2024,Pharma CBD,Digestive System; Nervous System,Pain; Pain - Dental - Acute; Pain - Neuropathy - Inflammatory Polyneuropathy
2022002,Tina's ParTy line: Polysubstance use patterns in sexual minority men living with HIV who use methamphetamine,https://pubmed.ncbi.nlm.nih.gov/34806244/,Negative,,Clinical Trial,2022,,Immune System; Mental/Emotional System; Nervous System,Addiction - Stimulant; Addiction; HIV/AIDS; Addiction - Alcohol; Addiction - Cannabis; Addiction - Cocaine; Erectile Dysfunction
2024038,An intervention based on Well-Being Therapy to prevent alcohol use and other unhealthy lifestyle behaviors among students: a three-arm cluster randomized controlled trial,https://pubmed.ncbi.nlm.nih.gov/37467370/,Positive,,Clinical Trial,2024,Diet; Exercise,Mental/Emotional System,Addiction - Alcohol; Behavioral Disorders; Addiction; Addiction - Cannabis; Addiction - Nicotine; Addiction - Stimulant; Cannabis Adverse Effects; Insomnia and Sleep Disorders
2024039,Effect of a selective personality-targeted prevention program on 7-year illicit substance related outcomes: A secondary analysis of a cluster randomized controlled trial,https://www.sciencedirect.com/science/article/pii/S037687162400187X?via%3Dihub,Positive,,Clinical Trial,2024,,Mental/Emotional System,Addiction - Cannabis; Addiction; Cannabis Adverse Effects
2024040,"Cannabidiol for behavior symptoms in Alzheimer’s disease (CANBiS-AD): a randomized, double-blind, placebo-controlled trial",https://www.cambridge.org/core/journals/international-psychogeriatrics/article/cannabidiol-for-behavior-symptoms-in-alzheimers-disease-canbisad-a-randomized-doubleblind-placebocontrolled-trial/7336D30201177E4B080785F055B11E8D,Positive,,Clinical Trial,2024,Pharma CBD,,Alzheimer's Disease; Behavioral Disorders; Anxiety; Dementia
2024041,"Cannabidiol Intervention for Muscular Tension, Pain, and Sleep Bruxism Intensity-A Randomized, Double-Blind Clinical Trial",https://www.mdpi.com/2077-0383/13/5/1417,Positive,,Double Blind Clinical Trial,2024,Pharma CBD,Muscular System,Insomnia and Sleep Disorders; Pain; Temporomandibular Disorders
2024042,The Impact of Cannabis Use on Cognition in People with HIV: Evidence of Function-Dependent Effects and Mechanisms from Clinical and Preclinical Studies,https://link.springer.com/article/10.1007/s11904-024-00698-w,Inconclusive,,Meta-analysis,2024,,Immune System,Cognitive Dysfunction; HIV/AIDS; Inflammation; Neurodegenerative Issues
2024043,Emerging drugs in phase II and III clinical development for the treatment of alcohol use disorder,https://www.tandfonline.com/doi/full/10.1080/14728214.2024.2342951,Positive,,Clinical Trial,2024,,Mental/Emotional System,Addiction - Alcohol; Addiction
2024044,Distinguishing Clinical Features of Cannabinoid Hyperemesis Syndrome and Cyclic Vomiting Syndrome: A Retrospective Cohort Study,https://pubmed.ncbi.nlm.nih.gov/38615942/,Inconclusive,,Meta-analysis,2024,,Digestive System; Nervous System,Cannabis Hyperemesis Syndrome; Nausea and Vomiting; Cannabis Adverse Effects
2024045,"Digital Interventions for Recreational Cannabis Use Among Young Adults: Systematic Review, Meta-Analysis, and Behavior Change Technique Analysis of Randomized Controlled Studies",https://www.jmir.org/2024/1/e55031,Positive,,Clinical Meta-analysis,2024,,Mental/Emotional System; Nervous System,Addiction - Cannabis; Addiction; Cannabis Adverse Effects
2024046,The Clinical Translation of α-humulene - A Scoping Review,https://pubmed.ncbi.nlm.nih.gov/38626911/,Positive,,Meta-analysis,2024,Endocannabinoid (unspecified),,Cancer - Colon; Cancer - Breast; Cancer - Lung; Cancer - Ovarian; Cancer - Prostate; Cancer; Inflammation; Oxidative Stress
2024047,"Morphological and clinical findings in placentas and newborns with a history of tobacco, alcohol, and other substance abuse during pregnancy",https://pubmed.ncbi.nlm.nih.gov/38640173/,Negative,,Meta-analysis,2024,,Mental/Emotional System; Nervous System; Reproductive System,Addiction - Alcohol; Addiction - Cannabis; Addiction - Nicotine; Addiction; Neonatal Cerebral Issues; Pregnancy
2024048,Dravet syndrome seizure frequency and clustering: Placebo-treated patients in clinical trials,https://www.epilepsybehavior.com/article/S1525-5050(24)00155-0/fulltext#secst115,Positive,,Clinical Meta-analysis,2024,,Nervous System,Epilepsy - Dravet Syndrome; Epilepsy
2024049,"Problematic Consumption of Alcohol, Cannabis and Cigarettes—a German Nationwide Survey on Psychopathology, Stress, Mindfulness, and Quality of Life",https://pubmed.ncbi.nlm.nih.gov/38657177/,Negative,,Meta-analysis,2024,,Mental/Emotional System; Nervous System,Addiction - Alcohol; Addiction - Cannabis; Addiction - Nicotine; Addiction; Psychosis; Quality of Life
2024050,Assessment of Clinical Outcomes in Patients With Osteoarthritis: Analysis From the UK Medical Cannabis Registry,https://www.tandfonline.com/doi/full/10.1080/15360288.2024.2340076,Positive,,Meta-analysis,2024,Pharma CBD; Pharma THC:CBD; Pharma THC,Skeletal System,Arthritis; Anxiety; Insomnia and Sleep Disorders; Pain
2024051,Placebo response in patients with Dravet syndrome: Post-hoc analysis of two clinical trials,https://www.epilepsybehavior.com/article/S1525-5050(24)00186-0/fulltext,Inconclusive,,Clinical Meta-analysis,2024,,Nervous System,Epilepsy - Dravet Syndrome; Epilepsy
2008001,Peripheral endocannabinoid system activity in patients treated with sibutramine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2527586/,Negative,,Double Blind Clinical Trial,2008,2-Arachidonoyl Glycerol (2-AG); Anandamide (AEA),Endocrine System,Obesity
2008002,Effect of olanzapine and risperidone on subjective well-being and craving for cannabis in patients with schizophrenia or related disorders: a double-blind randomized controlled trial,https://pubmed.ncbi.nlm.nih.gov/18616861/,Negative,,Double Blind Clinical Trial,2008,,Mental/Emotional System,Addiction - Cannabis; Addiction; Schizophrenia
2008003,"SERENADE: the Study Evaluating Rimonabant Efficacy in Drug-naive Diabetic Patients: effects of monotherapy with rimonabant, the first selective CB1 receptor antagonist, on glycemic control, body weight, and lipid profile in drug-naive type 2 diabetes",https://pubmed.ncbi.nlm.nih.gov/18678611/,Inconclusive,,Double Blind Clinical Trial,2008,Synthetic Cannabinoid (unspecified),Endocrine System,Diabetes
2008004,"Influence of taranabant, an orally active, highly selective, potent cannabinoid-1 receptor (CB1R) inverse agonist, on ethinyl estradiol and norelgestromin plasma pharmacokinetics",https://pubmed.ncbi.nlm.nih.gov/18936284/,Positive,,Double Blind Clinical Trial,2008,Synthetic Cannabinoid (unspecified),Endocrine System,Obesity; Pregnancy
2011001,An overview of the metabolic effects of rimonabant in randomized controlled trials: potential for other cannabinoid 1 receptor blockers in obesity,https://pubmed.ncbi.nlm.nih.gov/21198716/,Inconclusive,,Clinical Meta-analysis,2011,Synthetic Cannabinoid (unspecified),Endocrine System,Obesity
2008005,"Effect of rimonabant on the high-triglyceride/ low-HDL-cholesterol dyslipidemia, intraabdominal adiposity, and liver fat: the ADAGIO-Lipids trial",https://pubmed.ncbi.nlm.nih.gov/19112166/,Positive,,Double Blind Clinical Trial,2008,Synthetic Cannabinoid (unspecified),Endocrine System,Obesity
2024052,Opioid-positive urine drug screen during treatment with oral naltrexone and the clinical implications,https://meridian.allenpress.com/mhc/article/14/2/102/499684/Opioid-positive-urine-drug-screen-during-treatment,Negative,,Meta-analysis,2024,,Mental/Emotional System; Nervous System,Addiction - Opioid; Addiction; Addiction - Cannabis
2005002,Neurophysiological and subjective profile of marijuana with varying concentrations of cannabinoids,https://pubmed.ncbi.nlm.nih.gov/16148455/,Inconclusive,,Double Blind Clinical Trial,2005,Cannabichromene (CBC),,
2024053,Cannabinoids and healthy ageing: the potential for extending healthspan and lifespan in preclinical models with an emphasis on Caenorhabditis elegans,https://link.springer.com/article/10.1007/s11357-024-01162-8#Sec5,Positive,,Meta-analysis,2024,,Muscular System; Nervous System; Skeletal System,Geriatric Conditions; Quality of Life
2005003,Cannabis--psychosis pathway independent of other types of psychopathology,https://pubmed.ncbi.nlm.nih.gov/16125368/,Negative,,Clinical Trial,2005,Tetrahydrocannabinol (THC),Mental/Emotional System; Nervous System,Psychosis
2005004,[Effect of the synthetic cannabinoid dronabinol on central pain in patients with multiple sclerosis--secondary publication],https://pubmed.ncbi.nlm.nih.gov/16014264/,Positive,,Double Blind Clinical Trial,2005,Pharma THC,Nervous System,Pain; Multiple Sclerosis; Pain - Central Pain Syndrome
2024054,Harmonization of clinical practice guidelines for primary prevention and screening: actionable recommendations and resources for primary care,https://bmcprimcare.biomedcentral.com/articles/10.1186/s12875-024-02388-3,Inconclusive,,Meta-analysis,2024,,Mental/Emotional System; Nervous System,Addiction; Addiction - Alcohol; Addiction - Benzodiazepine; Addiction - Cannabis; Addiction - Nicotine; Addiction - Opioid; Allergic Contact Dermatitis; Cancer; Cardiovascular Diseases (CVD); COPD; Depression; Hepatitis; Obesity; Osteoporosis; Vaping injury (EVALI)
2005005,Cannabinoid influence on cytokine profile in multiple sclerosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1809378/,Inconclusive,,Double Blind Clinical Trial,2005,Tetrahydrocannabinol (THC),Nervous System,Multiple Sclerosis
2005006,Pain measurements and side effect profile of the novel cannabinoid ajulemic acid,https://pubmed.ncbi.nlm.nih.gov/15910892/,Positive,,Double Blind Clinical Trial,2005,Synthetic Cannabinoid (unspecified),Nervous System,Pain; Pain - Chronic; Pain - Neuropathy - Peripheral
2004001,The effect of cannabis on tremor in patients with multiple sclerosis,https://pubmed.ncbi.nlm.nih.gov/15079008/,Inconclusive,,Double Blind Clinical Trial,2004,,,Multiple Sclerosis
2024055,Canadian Network for Mood and Anxiety Treatments (CANMAT) 2023 Update on Clinical Guidelines for Management of Major Depressive Disorder in Adults: Réseau canadien pour les traitements de l'humeur et de l'anxiété (CANMAT) 2023 : Mise à jour des lignes directrices cliniques pour la prise en charge du trouble dépressif majeur chez les adultes,https://journals.sagepub.com/doi/10.1177/07067437241245384,Negative,,Meta-analysis,2024,,Mental/Emotional System; Nervous System,Anxiety; Depression; ADD and ADHD; Behavioral Disorders; Bipolar Disorder; Cognitive Dysfunction; Psychosis; Schizophrenia
2004002,Development and pharmacokinetic characterization of pulmonal and intravenous delta-9-tetrahydrocannabinol (THC) in humans,https://pubmed.ncbi.nlm.nih.gov/15067694/,Negative,,Double Blind Clinical Trial,2004,Pharma THC,,Pain
2024056,"Design of Mixed Medicinal Plants, Rich in Polyphenols, Vitamins B, and Palmitoylethanolamide-Based Supplement to Help Reduce Nerve Pain: A Preclinical Study",https://www.mdpi.com/1422-0067/25/9/4790,Positive,,Laboratory Study,2024,Palmitoylethanolamide (PEA),Nervous System,Pain; Pain - Neuropathy - Diabetic; Pain - Neuropathy - Drug-Ind. Polyneuropathy; Pain - Neuropathy - Inflammatory Polyneuropathy; Pain - Neuropathy - Peripheral; Inflammation; Oxidative Stress
2024057,"The Interplay of Sleep Quality, Mental Health, and Sociodemographic and Clinical Factors among Italian College Freshmen",https://www.mdpi.com/2077-0383/13/9/2626,Negative,,Clinical Trial,2024,,Nervous System,Insomnia and Sleep Disorders; Behavioral Disorders; Addiction; Anxiety; Depression; Psychosis
2024058,Clinical outcome analysis of patients with multiple sclerosis - Analysis from the UK Medical Cannabis Registry,https://www.msard-journal.com/article/S2211-0348(24)00242-6/fulltext,Positive,,Meta-analysis,2024,,Nervous System,Multiple Sclerosis; Quality of Life
2004003,First episode schizophrenia-related psychosis and substance use disorders: acute response to olanzapine and haloperidol,https://pubmed.ncbi.nlm.nih.gov/15061244/,Negative,,Clinical Trial,2004,,Mental/Emotional System,Psychosis; Schizophrenia
2024059,"The Association between Oxaliplatin-Induced Peripheral Neuropathy, Sociodemographic, and Clinical Characteristics with Falls in Older Adults with Colorectal Cancer",https://pubmed.ncbi.nlm.nih.gov/38751324/,Negative,,Meta-analysis,2024,,Digestive System; Nervous System,Cancer - Colon; Cancer; Pain; Pain - Neuropathy - Drug-Ind. Polyneuropathy; Geriatric Conditions
2004004,Voluntary exercise augments acute effects of CB1-receptor inverse agonist on body weight loss in obese and lean mice,https://pubmed.ncbi.nlm.nih.gov/14724049/,Positive,,Animal Study,2004,AM-x Synthetic Cannabinoids,Endocrine System,Obesity
2024060,Process evaluation of a pragmatic feasibility trial on smokeless tobacco cessation intervention delivered in dental hospitals,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-024-18821-2,Negative,,Clinical Trial,2024,,Mental/Emotional System; Nervous System,Addiction - Nicotine; Addiction; Cannabis Adverse Effects; Periodontal Disease
2003001,Characteristics of subgroups of individuals with psychotic illness and a comorbid substance use disorder,https://pubmed.ncbi.nlm.nih.gov/12663845/,Negative,,Clinical Trial,2003,,Mental/Emotional System; Nervous System,Addiction; Psychosis
2002001,"Dexanabinol (HU-211) in the treatment of severe closed head injury: a randomized, placebo-controlled, phase II clinical trial",https://pubmed.ncbi.nlm.nih.gov/11990913/,Positive,,Double Blind Clinical Trial,2002,HU-x Synthetic Cannabinoids,Nervous System,Traumatic Brain Injury
2002002,Low fatty acid amide hydrolase and high anandamide levels are associated with failure to achieve an ongoing pregnancy after IVF and embryo transfer,https://pubmed.ncbi.nlm.nih.gov/11818522/,Negative,,Clinical Trial,2002,Anandamide (AEA); Fatty Acid Amide Hydrolase (FAAH),Reproductive System,Pregnancy
